             -1|        iot Men|    9386-2610-1|          26264|         256214|             -1|    09386-02610
             -1|         30 Lyn|    3803-1703-1|          40875|          26784|             -1|    03803-01703
             -1|         32 Aqr|    5224-1807-1|         108991|         145853|             -1|    05224-01807
             -1|        pi. Cep|             -1|         114222|          10629|             -1|    04601-03531
             -1|      zet Ori A|    4771-1188-1|             -1|             -1|             -1|             -1
             -1|          5 Sgr|    6842-1845-1|          88142|         186074|             -1|    06842-01845
             -1|      ksi UMa B|    2520-2634-2|             -1|             -1|             -1|             -1
             -1|         83 Vir|     6123-583-1|          67057|         158131|             -1|    06123-00583
             -1|         17 Vul|    2154-4100-1|          99080|          88212|             -1|    02154-04100
             -1|        ksi CrB|    2580-2438-1|          80181|          65254|             -1|    02580-02438
             -1|        del Cru|    8645-2263-1|          59747|         239791|             -1|    08645-02263
             -1|      zet Phe C|    8476-1304-1|             -1|             -1|             -1|             -1
             -1|        pi. Cen|             -1|          55425|         238986|             -1|             -1
             -1|        psi Cen|    7805-2696-1|          70090|         205453|     261-071883|    07805-02696
             -1|       30 Ari A|    1771-1398-1|          12189|          75471|             -1|    01771-01398
             -1|         63 Cet|    4690-1109-1|          10234|         129739|             -1|    04690-01109
             -1|         14 Vul|    2141-2712-1|          98375|          88016|             -1|    02141-02712
             -1|       48 Cas A|    4315-2126-1|             -1|             -1|             -1|             -1
             -1|        chi Dra|    4437-1491-1|          89937|           9087|             -1|             -1
             -1|         41 Cet|     5274-414-1|           6048|         129217|             -1|    05274-00414
             -1|          d Cen|    7792-2393-1|          65936|         204545|             -1|    07792-02393
             -1|          4 Ari|    1206-1792-1|           8387|          92637|             -1|    01206-01792
             -1|    omi02 Eri B|             -1|             -1|         131065|             -1|             -1
             -1|         43 Cam|    4359-2043-1|          33104|          13986|             -1|    04359-02043
        ALSHAIN|        bet Aql|     493-3355-1|          98036|         125235|             -1|             -1
             -1|          e Eri|    7567-1183-1|          15510|         216263|             -1|             -1
             -1|       51 Psc B|      16-1424-1|             -1|         109263|             -1|             -1
             -1|         78 Peg|    2257-2521-1|         117073|          91457|             -1|    02257-02521
             -1|        eps Oct|    9483-1157-1|         110256|         258928|             -1|    09483-01157
             -1|      tet Sco B|    7892-7679-2|             -1|             -1|     236-132813|             -1
