# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
                |         80 Cet |     5285-251   |          12107 |         130004 |                |    05285-00251
                |      gam01 Vol |    9182  410   |          34473 |         256373 |                |    09182-01410
                |      gam Lup A |    7840  432-2 |                |                |                |               
                |         13 And |    3238  934   |         115755 |          53039 |                |    03238-01934
                |         63 Eri |    5326  952   |          23221 |         150060 |                |    05326-01952
                |      nu.01 CrB |    2583  993   |          80197 |          65257 |                |    02583-01993
                |          C Vel |    8158-2683   |          42088 |         220138 |                |    08158-02683
                |       74 Psc A |    1202-2124   |           5131 |          74482 |                |    01202-02124
                |         35 Cru |     8658-751   |          61136 |         240027 |                |    08658-00751
                |      iot01 Mus |    9254-2970   |          65468 |         257041 |                |    09254-02970
                |        tet Ant |                |          47758 |         177908 |                |               
                |         81 UMa |     3853-413   |          66198 |          28803 |                |    03853-00413
                |         30 Mon |    4857-2151   |          41307 |         135896 |                |               
                |      chi01 Sgr |    6880-2342   |          95477 |         188101 |     328  91199 |    06880-02342
                |        gam Cir |                |          75323 |         242463 |     154  50766 |               
                |       15 Mon A |     750  880   |                |                |                |               
                |         74 Dra |    4597  694   |         101082 |           3413 |                |               
                |         70 Aql |     5180-338   |         101692 |         144624 |                |    05180-00338
                |        ups PsA |    7492  468   |         109289 |         213577 |                |    07492-01468
                |        omi And |    3224-3434   |         113726 |          52609 |                |    03224-03434
                |         42 Cap |    5799  135   |         107095 |         164580 |                |    05799-01135
                |        mu. CMa |                |          33345 |         152123 |                |               
                |          J Cen |    8990-3680   |          65271 |         252284 |                |    08990-03680
                |         16 Cam |    3756  653   |          25197 |          25161 |                |    03756-01653
                |      eta01 Pic |    8081  280   |          23482 |         217140 |                |    08081-01280
                |        mu. Cas |    3673  929   |           5336 |          22024 |                |               
                |         64 Leo |    1978  614   |          54388 |          81681 |                |    01978-01614
                |        chi Ser |     937  118   |          76866 |         101683 |                |    00937-01118
                |         22 Tau |    1804-2521   |          17588 |          76164 |                |    01804-02521
                |         65 Peg |    1719-2320   |         115407 |          91220 |                |    01719-02320
                |         42 Cam |    4359-2044   |          32864 |          13973 |                |    04359-02044
                |        ksi Pav |    9068-2823   |          90098 |         254226 |                |    09068-02823
                |        ups Sgr |    6297  419   |          95176 |         162518 |                |    06297-01419
                |      gam02 Ari |    1209  835   |                |          92681 |     547-003512 |    01209-01835
                |        iot Leo |                |          55642 |          99587 |                |               
         Kurhah |        ksi Cep |                |         108917 |                |                |               
                |       78 UMa A |    3845  189   |                |                |                |               
                |         34 Boo |    2019  252   |          71995 |          83488 |                |    02019-01252
                |        gam Phe |    7547  134   |           6867 |         215516 |                |               
                |      ome Aur A |    2894-3065   |                |                |                |               
                |          M Pup |    7642  846   |          35347 |         218618 |                |    07642-01846
                |         29 Cap |    6347  584   |         104974 |         164263 |                |    06347-01584
                |         40 Ari |    1226-2016   |          13108 |          93118 |                |    01226-02016
                |        ksi Peg |    1155-2186   |         112447 |         108165 |                |               
                |         62 Her |     2064-620   |          83876 |          84873 |                |    02064-00620
                |        zet UMi |    4563-2708   |          77055 |           8328 |                |    04563-02708
                |      ksi Phe B |    8469  598   |                |                |                |    08469-01598
                |        phi Peg |    1725-2097   |         117718 |         108878 |                |    01725-02097
                |        101 Psc |      627-535   |           7436 |          92530 |                |    00627-00535
        Edasich |        iot Dra |    3875  620   |          75458 |          29520 |                |    03875-01620
         Alcaid |        eta UMa |    3467  257   |          67301 |          44752 |                |    03467-01257
                |        rho Hya |     224  334   |          43234 |         117146 |                |    00224-01334
                |      eta Ori A |    4757  588   |                |                |                |               
                |        sig Cas |                |         118243 |          35947 |                |    04005-02471
                |        iot Aql |    5144-3103   |          96468 |         143597 |                |    05144-03103
                |        phi Oct |    9445-2572   |          90133 |         257584 |                |    09445-02572
                |         13 Boo |    3468  122   |          69068 |          44905 |                |    03468-01122
                |        del Boo |    2566  639   |          74666 |          64589 |                |               
                |      pi. Cen B |    8621-2002-2 |                |                |                |               
                |      ksi Sco B |    5619  257-2 |                |                |     394-061368 |               
                |        lam Cru |    8660-2695   |          63007 |         240368 |                |    08660-02695
                |        lam Pav |    9074-2203   |          92609 |         254393 |                |    09074-02203
                |        eps Ret |    8508-2041   |          19921 |         233463 |                |    08508-02041
                |         28 Lyn |    2979  990   |          39722 |          42174 |                |    02979-01990
                |         70 Oph |                |          88601 |         123107 |                |               
                |        bet Hyi |    9350  626   |           2021 |         255670 |                |               
                |          9 Cas |    4018-3891   |            330 |          10954 |                |    04018-03891
                |        zet Phe |    8476  302   |           5348 |         232306 |                |    08476-01302
                |      sig Pup B |    7655-2688   |                |         218757 |     234-015603 |               
                |          e Oph |     982-2322   |          84671 |         102725 |                |    00982-02322
                |          d Aqr |     547  047   |         106944 |         126965 |                |    00547-01047
    Kornephoros |        bet Her |    1518  442   |          80816 |          84411 |                |    01518-01442
       Zavijava |        bet Vir |      273-924   |          57757 |         119076 |                |               
                |        del Per |    3317-3034   |          17358 |          39053 |                |               
                |         29 Lyn |    3803  702   |          40646 |          26756 |                |    03803-01702
                |          e Aqr |    5806  866   |         109472 |         164910 |                |    05806-01866
                |         81 Leo |    1437-2846   |          55765 |          99601 |                |    01437-02846
                |         52 Cnc |    1393-2816   |          43463 |          98169 |                |    01393-02816
                |        alf Scl |    6424-2270   |           4577 |         166716 |                |    06424-02270
 Lambda Ori X-3 |      lam Ori A |     705-2400   |                |                |                |    00705-02400
                |         12 Lyn |                |          32438 |          25939 |                |               
                |         82 Gem |    1912-2347   |          38106 |          79704 |                |    01912-02347
                |        pi. CMa |    5958-3291   |          33302 |         172579 |                |    05958-03291
                |        lam Oct |                |         107843 |         258914 |                |               
